id,customer_id,region,device,amount_cents,event_ts
1,1182,NA,android,29046,1700001930
2,1005,APAC,android,1316,1700003287
3,10663,MEA,ios,4016,1700003631
4,1238,APAC,ios,1650,1700002906
5,1153,NA,web,7722,1700003327
6,1364,NA,android,21949,1700003206
7,1177,APAC,android,7704,1700000961
8,7303,LATAM,web,2694,1700000476
9,1004,MEA,web,12312,1700002694
10,4039,NA,android,4485,1700003126
11,10200,LATAM,ios,3759,1700003029
12,1031,APAC,web,10346,1700001721
13,1488,LATAM,ios,15261,1700000341
14,2535,NA,android,13370,1700002673
15,1230,NA,android,16938,1700001447
16,1607,APAC,web,7973,1700001698
17,1400,APAC,android,1109,1700001279
18,1360,APAC,android,7336,1700003064
19,1897,EU,ios,2640,1700001464
20,6670,EU,web,5179,1700002344
21,1009,NA,ios,5435,1700000871
22,1543,EU,web,12330,1700003497
23,13205,NA,web,5668,1700003792
24,4170,LATAM,ios,10709,1700001098
25,2081,APAC,web,2669,1700000542
26,1158,NA,ios,7409,1700002646
27,1100,LATAM,android,4742,1700002705
28,1296,EU,android,1278,1700002976
29,2388,NA,ios,22473,1700003085
30,1279,EU,web,2745,1700001791
31,1268,NA,android,2327,1700003621
32,2840,NA,android,19756,1700003122
33,2413,NA,android,9585,1700003360
34,3055,APAC,android,28944,1700003045
35,1687,LATAM,ios,3269,1700003753
36,1342,NA,web,10582,1700002372
37,1915,EU,ios,5227,1700001013
38,1544,NA,web,33272,1700001570
39,1260,NA,web,4055,1700001213
40,4733,APAC,web,5327,1700001872
41,1194,LATAM,ios,30026,1700002118
42,1710,NA,web,5742,1700002769
43,1591,LATAM,web,4693,1700002043
44,3203,EU,ios,7191,1700002534
45,1221,MEA,ios,31311,1700001211
46,1203,EU,web,4231,1700003624
47,1835,EU,android,2198,1700002800
48,2306,EU,ios,1307,1700003463
49,1129,APAC,android,8267,1700001672
50,7334,NA,web,11381,1700002754
51,2462,APAC,web,8477,1700002739
52,2362,NA,web,1976,1700002075
53,1144,EU,android,2491,1700002595
54,2512,EU,web,32353,1700001131
55,1081,APAC,ios,11451,1700003597
56,2960,NA,web,16791,1700004101
57,3652,APAC,android,11719,1700002075
58,1864,EU,ios,25447,1700003621
59,1427,EU,android,1213,1700003011
60,1341,APAC,web,2770,1700001625
61,1189,EU,android,1103,1700001948
62,12463,NA,web,2014,1700004242
63,2048,APAC,ios,10244,1700002145
64,1435,EU,ios,7853,1700001200
65,1546,NA,web,7108,1700002379
66,1214,EU,android,12696,1700002136
67,1929,EU,android,9136,1700001709
68,1749,NA,web,6756,1700003872
