operation,key,customer_id,amount_cents
I,1,83811,7396
I,2,3279,48698
I,3,36049,16149
I,4,29257,9244
I,5,96531,6817
I,6,88697,48640
I,7,71483,5797
I,8,77398,27751
I,9,4166,2052
I,10,12281,14428
I,11,30496,33218
I,12,78908,1839
I,13,73564,13131
I,14,93851,42690
I,15,91925,35813
I,16,54988,14546
I,17,58879,38718
I,18,36464,525
I,19,99459,10563
I,20,91507,27796
I,21,44598,18310
I,22,20380,14210
I,23,44119,6798
I,24,12157,24998
I,25,12677,23626
I,26,45083,39665
I,27,34672,2947
I,28,95648,30208
I,29,70285,8280
I,30,49616,5264
I,31,72358,19313
I,32,82398,40635
I,33,47401,37937
I,34,25204,46274
I,35,9117,3103
I,36,86674,15035
I,37,37931,5329
I,38,30513,6719
I,39,49824,18317
I,40,59430,41760
I,41,47820,10759
I,42,48521,23383
I,43,27461,44020
I,44,34994,46094
I,45,89594,42569
I,46,9359,40020
I,47,83228,11315
I,48,70011,47884
I,49,32088,10808
I,50,60590,24967
I,51,35383,42043
I,52,90199,36600
I,53,28786,44966
I,54,42505,3765
I,55,30022,2203
I,56,41348,26390
I,57,35094,4437
I,58,27654,37270
I,59,94099,20722
I,60,27870,43054
I,61,65436,26028
I,62,84260,30171
I,63,18727,17459
I,64,18302,16262
I,65,97648,36889
I,66,70645,17319
I,67,97913,38411
I,68,56156,38342
I,69,52351,23823
I,70,28747,9165
I,71,66785,32443
I,72,11916,49630
I,73,6176,7285
I,74,20034,41220
I,75,20970,44696
I,76,55334,39186
I,77,8327,25316
I,78,50020,39152
I,79,61349,34776
I,80,32954,36356
I,81,1505,44683
I,82,94467,7607
I,83,89354,35290
I,84,98420,17586
I,85,84013,22393
I,86,14622,19334
I,87,56986,10465
I,88,59471,312
I,89,94647,47264
I,90,34523,32906
I,91,99872,11808
I,92,66543,7073
I,93,81960,19658
I,94,83749,33370
I,95,79819,13135
I,96,20033,24604
I,97,99944,10687
I,98,70698,34857
I,99,75,39352
I,100,42488,32121
I,101,2553,7431
I,102,47577,20253
I,103,31386,3896
I,104,31572,37282
I,105,10323,5713
I,106,95933,31949
I,107,9072,49946
I,108,69823,8341
I,109,16829,43337
I,110,62297,36131
I,111,21644,17470
I,112,69164,39853
I,113,55462,13980
I,114,70687,49597
I,115,95674,45311
I,116,26366,46823
I,117,40858,26248
I,118,88040,42690
I,119,48945,28811
I,120,67840,29688
I,121,15861,16346
I,122,29452,4296
I,123,44314,1478
I,124,77111,36401
I,125,30162,38664
I,126,28865,571
I,127,9306,46489
I,128,82720,3958
I,129,30008,4517
I,130,4118,21754
I,131,9288,33795
I,132,31196,18350
I,133,87685,31912
I,134,28081,35439
I,135,17343,47505
I,136,74848,37862
I,137,61954,16025
I,138,61994,26777
I,139,24958,6281
I,140,12705,43287
I,141,56499,23319
I,142,55520,27041
I,143,61214,47880
I,144,7101,44229
I,145,85650,42448
I,146,12900,4072
I,147,52773,47824
I,148,44474,7261
I,149,32592,12656
I,150,24932,35246
I,151,58801,9286
I,152,55297,12125
I,153,36510,30418
I,154,32743,5040
I,155,58083,36166
I,156,12834,3415
I,157,85478,35527
I,158,1935,6212
I,159,98772,15591
I,160,21799,26734
I,161,63654,31646
I,162,28017,26382
I,163,7686,10889
I,164,49673,241
I,165,51174,17480
I,166,59639,18794
I,167,55445,45751
I,168,95749,36522
I,169,86753,47181
I,170,63789,10244
I,171,24891,19545
I,172,28535,3932
I,173,75915,48317
I,174,71067,4094
I,175,98039,20652
I,176,7493,3386
I,177,76570,31346
I,178,65910,34907
I,179,20636,3827
I,180,66563,5350
I,181,24357,4590
I,182,77993,4553
I,183,88502,15514
I,184,52924,7956
I,185,74669,16235
I,186,75881,39062
I,187,5210,40691
I,188,10746,27574
I,189,86164,38351
I,190,74086,34361
I,191,41468,17189
I,192,26773,43991
I,193,93873,20690
I,194,31286,17507
I,195,51877,8677
I,196,88040,42403
I,197,39322,30064
I,198,41442,49374
I,199,9509,710
I,200,60069,40808
I,201,73793,6652
I,202,9603,35334
I,203,27939,33253
I,204,34761,8780
I,205,45746,4608
I,206,32019,24317
I,207,37354,10438
I,208,57434,35700
I,209,92215,19925
I,210,80174,42958
I,211,69330,612
I,212,87539,36446
I,213,39241,43575
I,214,13578,8900
I,215,34665,7664
I,216,14030,48755
I,217,72513,10287
I,218,35698,18565
I,219,79277,13903
I,220,94059,22571
I,221,26686,45155
I,222,83131,17400
I,223,66245,32116
I,224,32915,3429
I,225,12098,41668
I,226,55519,18232
I,227,5779,332
I,228,43720,8673
I,229,83508,17267
I,230,21179,48677
I,231,57913,36254
I,232,92494,28128
I,233,73520,733
I,234,14664,5031
I,235,90574,9868
I,236,71512,2461
I,237,48394,38275
I,238,72421,9805
I,239,56334,8452
I,240,5483,20302
I,241,47796,2714
I,242,46899,13867
I,243,89400,16453
I,244,87417,6836
I,245,46358,36792
I,246,53265,40775
I,247,98236,10228
I,248,31030,10749
I,249,23207,27120
I,250,3249,11854
I,251,96543,21870
I,252,53965,44003
I,253,96346,16363
I,254,34971,10533
I,255,91918,7184
I,256,50141,2637
I,257,61695,14677
I,258,26159,30266
I,259,45831,20100
I,260,29832,14709
I,261,3102,43355
I,262,25314,26213
I,263,43026,18358
I,264,9100,18392
I,265,46026,42140
I,266,66769,26293
I,267,89066,35241
I,268,43405,1908
I,269,15119,17218
I,270,23406,38149
I,271,34796,2607
I,272,14209,39196
I,273,56960,22754
I,274,95492,20657
I,275,57200,39828
I,276,67034,7678
I,277,50489,37887
I,278,24915,16793
I,279,5818,46550
I,280,57155,210
I,281,68147,35387
I,282,90028,47248
I,283,97249,48402
I,284,87901,13012
I,285,47740,28365
I,286,9172,43631
I,287,43280,40939
I,288,41146,43575
I,289,16335,47269
I,290,39364,33334
I,291,40539,43805
I,292,53529,21476
I,293,52744,45792
I,294,38753,36433
I,295,16684,12672
I,296,55109,43676
I,297,49696,44488
I,298,98060,11505
I,299,80677,37396
I,300,39447,26712
I,301,71820,126
I,302,39830,18903
I,303,27550,28273
I,304,76020,39858
I,305,85814,21218
I,306,60947,29052
I,307,57955,44377
I,308,28011,33600
I,309,62022,48331
I,310,22242,43278
I,311,11115,18698
I,312,67562,43606
I,313,82961,40683
I,314,43934,6220
I,315,98454,15492
I,316,88185,20443
I,317,29445,13150
I,318,19314,1700
I,319,6058,16146
I,320,62278,40160
I,321,9546,29946
I,322,54322,41372
I,323,75455,12842
I,324,94156,45736
I,325,50329,32499
I,326,52384,16089
I,327,19343,43095
I,328,90129,463
I,329,98431,7085
I,330,55725,14441
I,331,23054,45707
I,332,67890,30544
I,333,6583,36630
I,334,32663,8053
I,335,59830,8838
I,336,60902,43850
I,337,69617,36729
I,338,78048,20894
I,339,98993,29104
I,340,80302,47238
I,341,66163,28066
I,342,71811,29323
I,343,20862,48836
I,344,62217,29595
I,345,33973,49368
I,346,32407,41889
I,347,36348,34263
I,348,63518,41174
I,349,31359,18096
I,350,57655,5177
I,351,93526,18825
I,352,30736,17907
I,353,44021,21052
I,354,70799,5380
I,355,18137,9984
I,356,30312,25202
I,357,90958,10114
I,358,92592,14121
I,359,8419,27288
I,360,53425,21784
I,361,71122,30634
I,362,54497,4180
I,363,27111,27634
I,364,51050,38378
I,365,91164,1380
I,366,75457,25028
I,367,62519,486
I,368,46106,19669
I,369,98760,25658
I,370,54922,35372
I,371,97979,48244
I,372,71583,39634
I,373,28907,32096
I,374,28761,17987
I,375,57126,31927
I,376,3805,25584
I,377,44058,43935
I,378,89017,26597
I,379,94920,10916
I,380,61262,8464
I,381,81561,35104
I,382,3535,25922
I,383,77581,37087
I,384,86901,1876
I,385,11004,42223
I,386,56180,8993
I,387,60516,12009
I,388,6591,17149
I,389,49690,21553
I,390,27743,29899
I,391,42841,22218
I,392,99776,24946
I,393,36472,49383
I,394,55256,16632
I,395,10736,30922
I,396,2541,49188
I,397,70703,3513
I,398,45871,14794
I,399,85216,4596
I,400,85427,2738
I,401,98859,2133
I,402,32412,13165
I,403,2672,40819
I,404,19974,15733
I,405,16545,31135
I,406,87748,7596
I,407,73921,14384
I,408,60953,45940
I,409,33587,24275
I,410,21993,39807
I,411,79594,49116
I,412,94157,7606
I,413,21466,20484
I,414,14169,38024
I,415,3366,20544
I,416,75471,44490
I,417,49193,26095
I,418,93719,13097
I,419,9962,38903
I,420,90521,41206
I,421,31831,6778
I,422,91383,19864
I,423,89688,39448
I,424,15867,37188
I,425,5384,22854
I,426,69828,28174
I,427,86707,24385
I,428,9039,33258
I,429,84875,22462
I,430,1659,27628
I,431,64252,7016
I,432,56823,23836
I,433,83308,30229
I,434,92709,10126
I,435,57081,11643
I,436,96181,34293
I,437,85257,17800
I,438,80729,35369
I,439,63373,30565
I,440,57092,48008
I,441,77657,17689
I,442,42246,16188
I,443,11360,18379
I,444,59088,16081
I,445,98367,30555
I,446,74692,40098
I,447,87581,24937
I,448,44093,1980
I,449,64790,21400
I,450,23835,32052
I,451,27803,23353
I,452,33863,22404
I,453,36656,39169
I,454,91906,18205
I,455,72849,765
I,456,67716,12621
I,457,11222,15917
I,458,94382,26735
I,459,64039,36484
I,460,99375,15849
I,461,90520,31301
I,462,84660,46751
I,463,64333,29471
I,464,2261,6198
I,465,38567,14622
I,466,53006,45436
I,467,31891,20167
I,468,87027,38212
I,469,48369,31115
I,470,72545,34894
I,471,45057,27985
I,472,97772,36170
I,473,43358,23156
I,474,92125,29836
I,475,35510,20194
I,476,32952,15208
I,477,15815,47370
I,478,25243,20779
I,479,15671,48785
I,480,70237,45330
I,481,24268,12652
I,482,28362,48505
I,483,63465,18220
I,484,94973,38739
I,485,99642,34482
I,486,78223,18646
I,487,13177,12821
I,488,38830,15008
I,489,47302,11859
I,490,39619,1027
I,491,92802,35105
