system,algorithm,search_p95_us,search_avg_us,search_p99_us,search_throughput_ops_s,insert_p95_us,insert_avg_us,insert_p99_us,insert_throughput_ops_s,correctness_ok
sqlite,primary_key_index,4.749978,4.645425,6.125018,215265.546464,,,,,true
rookdb,Static Hash,0.792000,0.500371,0.875000,1998515.183160,1.125000,0.681987,1.208000,1466303.308887,true
rookdb,Chained Hash,0.625000,0.358990,0.667000,2785595.086121,0.625000,0.411735,2.542000,2428746.173389,true
rookdb,Extendible Hash,0.167000,0.100778,0.292000,9922800.611244,163.334000,30.427563,174.500000,32864.938894,true
rookdb,Linear Hash,0.084000,0.062198,0.125000,16077770.103322,69.333000,30.127362,75.833000,33192.417778,true
rookdb,B-Tree,0.167000,0.112447,0.292000,8893092.752646,0.458000,0.228823,1.416000,4370185.093945,true
rookdb,B+ Tree,0.209000,0.186222,0.250000,5369946.343498,0.333000,0.247347,0.667000,4042895.444094,true
rookdb,Radix Tree,0.125000,0.094294,0.166000,10605142.136480,0.250000,0.177837,0.500000,5623114.148091,true
rookdb,Skip List,0.084000,0.053476,0.084000,18700019.522825,0.125000,0.104232,0.209000,9593995.540328,true
rookdb,LSM Tree,0.167000,0.121390,0.167000,8237912.223066,0.125000,0.311724,0.167000,3207966.844508,true
