rows,system,algorithm,search_p95_us,search_avg_us,search_p99_us,search_throughput_ops_s,insert_p95_us,insert_avg_us,insert_p99_us,insert_throughput_ops_s,correctness_ok
10000,sqlite,primary_key_index,5.792012,5.628061,9.332987,177681.099420,,,,,true
10000,rookdb,Static Hash,0.334000,0.182351,0.375000,5483938.367113,0.250000,0.156132,0.333000,6404853.341668,true
10000,rookdb,Chained Hash,0.292000,0.195788,0.292000,5107560.108321,0.292000,0.200476,0.709000,4988138.207343,true
10000,rookdb,Extendible Hash,0.125000,0.074290,0.208000,13460689.402668,28.875000,6.975576,46.042000,143357.328865,true
10000,rookdb,Linear Hash,0.125000,0.077557,0.125000,12893809.166467,8.250000,4.105772,10.958000,243559.525035,true
10000,rookdb,B-Tree,0.167000,0.103804,0.334000,9633549.413847,0.458000,0.214122,1.417000,4670241.269334,true
10000,rookdb,B+ Tree,0.167000,0.163842,0.209000,6103433.669714,0.292000,0.203230,0.500000,4920543.070498,true
10000,rookdb,Radix Tree,0.084000,0.063779,0.084000,15679019.120564,0.167000,0.142288,0.250000,7027994.610934,true
10000,rookdb,Skip List,0.042000,0.040976,0.084000,24404469.922714,0.125000,0.086805,0.209000,11520047.186113,true
10000,rookdb,LSM Tree,0.084000,0.056350,0.084000,17746228.926352,0.125000,0.154059,0.167000,6491032.314306,true
20000,sqlite,primary_key_index,6.082992,5.761226,13.292010,173574.156633,,,,,true
20000,rookdb,Static Hash,0.292000,0.199439,0.334000,5014060.679661,0.334000,0.214383,0.417000,4664539.170351,true
20000,rookdb,Chained Hash,0.333000,0.195353,0.334000,5118926.745342,0.375000,0.247620,0.500000,4038452.529606,true
20000,rookdb,Extendible Hash,0.167000,0.075407,0.291000,13261350.721619,49.750000,12.571095,85.084000,79547.566533,true
20000,rookdb,Linear Hash,0.125000,0.080016,0.125000,12497438.025204,15.292000,8.053453,20.666000,124170.343433,true
20000,rookdb,B-Tree,0.125000,0.079698,0.125000,12547405.667035,0.458000,0.213545,1.291000,4682849.345244,true
20000,rookdb,B+ Tree,0.208000,0.172254,0.292000,5805392.222459,0.333000,0.211389,0.500000,4730621.835510,true
20000,rookdb,Radix Tree,0.084000,0.068108,0.084000,14682573.767086,0.167000,0.146904,0.250000,6807178.169380,true
20000,rookdb,Skip List,0.083000,0.044003,0.084000,22725904.008057,0.125000,0.095301,0.209000,10493080.338171,true
20000,rookdb,LSM Tree,0.084000,0.076001,0.125000,13157643.702849,0.125000,0.198341,0.208000,5041828.267767,true
