id,name,city,dept,score
12000,S00001,Pune,EEE,63
11963,S00002,Mumbai,ME,76
11926,S00003,Jaipur,CE,89
11889,S00004,Noida,CSE,51
11852,S00005,Indore,EEE,64
11815,S00006,Bhopal,ME,77
11778,S00007,Nagpur,CE,90
11741,S00008,Delhi,CSE,52
11704,S00009,Pune,EEE,65
11667,S00010,Mumbai,ME,78
11630,S00011,Jaipur,CE,91
11593,S00012,Noida,CSE,53
11556,S00013,Indore,EEE,66
11519,S00014,Bhopal,ME,79
11482,S00015,Nagpur,CE,92
11445,S00016,Delhi,CSE,54
11408,S00017,Pune,EEE,67
11371,S00018,Mumbai,ME,80
11334,S00019,Jaipur,CE,93
11297,S00020,Noida,CSE,55
11260,S00021,Indore,EEE,68
11223,S00022,Bhopal,ME,81
11186,S00023,Nagpur,CE,94
11149,S00024,Delhi,CSE,56
11112,S00025,Pune,EEE,69
11075,S00026,Mumbai,ME,82
11038,S00027,Jaipur,CE,95
11001,S00028,Noida,CSE,57
10964,S00029,Indore,EEE,70
10927,S00030,Bhopal,ME,83
10890,S00031,Nagpur,CE,96
10853,S00032,Delhi,CSE,58
10816,S00033,Pune,EEE,71
10779,S00034,Mumbai,ME,84
10742,S00035,Jaipur,CE,97
10705,S00036,Noida,CSE,59
10668,S00037,Indore,EEE,72
10631,S00038,Bhopal,ME,85
10594,S00039,Nagpur,CE,98
10557,S00040,Delhi,CSE,60
10520,S00041,Pune,EEE,73
10483,S00042,Mumbai,ME,86
10446,S00043,Jaipur,CE,99
10409,S00044,Noida,CSE,61
10372,S00045,Indore,EEE,74
10335,S00046,Bhopal,ME,87
10298,S00047,Nagpur,CE,100
10261,S00048,Delhi,CSE,62
10224,S00049,Pune,EEE,75
10187,S00050,Mumbai,ME,88
10150,S00051,Jaipur,CE,50
10113,S00052,Noida,CSE,63
10076,S00053,Indore,EEE,76
10039,S00054,Bhopal,ME,89
10002,S00055,Nagpur,CE,51
9965,S00056,Delhi,CSE,64
9928,S00057,Pune,EEE,77
9891,S00058,Mumbai,ME,90
9854,S00059,Jaipur,CE,52
9817,S00060,Noida,CSE,65
9780,S00061,Indore,EEE,78
9743,S00062,Bhopal,ME,91
9706,S00063,Nagpur,CE,53
9669,S00064,Delhi,CSE,66
9632,S00065,Pune,EEE,79
9595,S00066,Mumbai,ME,92
9558,S00067,Jaipur,CE,54
9521,S00068,Noida,CSE,67
9484,S00069,Indore,EEE,80
9447,S00070,Bhopal,ME,93
9410,S00071,Nagpur,CE,55
9373,S00072,Delhi,CSE,68
9336,S00073,Pune,EEE,81
9299,S00074,Mumbai,ME,94
9262,S00075,Jaipur,CE,56
9225,S00076,Noida,CSE,69
9188,S00077,Indore,EEE,82
9151,S00078,Bhopal,ME,95
9114,S00079,Nagpur,CE,57
9077,S00080,Delhi,CSE,70
9040,S00081,Pune,EEE,83
9003,S00082,Mumbai,ME,96
8966,S00083,Jaipur,CE,58
8929,S00084,Noida,CSE,71
8892,S00085,Indore,EEE,84
8855,S00086,Bhopal,ME,97
8818,S00087,Nagpur,CE,59
8781,S00088,Delhi,CSE,72
